地区,户数合计,家庭户户数,集体户户数,人口合计,男,女,性别比,家庭户人口合计,家庭户男,家庭户女,家庭户性别比,集体户人口合计,集体户男,集体户女,集体户性别比
北京,9137928,8230792,907136,21893095,11195390,10697705,104.65,19014338,9436296,9578042,98.52,2878757,1759094,1119663,157.11
天津,5464620,4867116,597504,13866009,7144949,6721060,106.31,11668540,5829455,5839085,99.84,2197469,1315494,881975,149.15
河北,26355634,25429609,926025,74610235,37679003,36913232,102.02,69871266,35078326,34792940,100.82,4738969,2600677,2138292,121.62
山西,13384751,12746142,638609,34915616,17805148,17110468,104.06,32138952,16184258,1556494,101.44,2776664,1620890,1155774,140.24
内蒙古,9974153,9483957,490196,24049155,12275274,11773881,104.26,22296184,11229242,11066942,101.47,1752971,1046032,706939,147.97
辽宁,18168393,17467111,701282,42591407,21263759,21327648,99.70,39914651,19800387,20114264,98.44,2676756,1463142,1213614,120.56
吉林,9961655,9426822,534833,24073453,12018319,12055134,99.69,22103381,10995039,11108342,98.98,1970072,1023280,946792,108.08
黑龙江,13707216,13024687,682529,31850088,15952468,15897620,100.35,28934500,14424561,14509939,99.41,2915588,1527907,1387681,110.11
上海,10466847,9644628,822219,24870895,12875211,11995684,107.33,22347586,11244075,11103511,101.27,2523309,1631136,892173,182.83
江苏,31922656,29910849,2011807,84748016,43031586,41716430,103.15,77644026,38754626,38889400,99.65,7103990,4276960,2827030,151.29
浙江,26880850,25008606,1872244,64567588,33680008,30887580,109.04,58830838,30143079,28687759,105.07,5736750,3536929,2199821,160.78
安徽,22888078,21910377,977701,61027171,31103394,29923777,103.94,57272157,28929853,28342304,102.07,3755014,2173541,1581473,137.44
福建,15306514,14371078,935436,41540086,21466757,20073329,106.94,38462277,19624877,18837400,104.18,3077809,1841880,1235929,149.03
江西,14791970,14072847,719123,45188635,23318533,21870102,106.62,41329294,21164113,20165181,104.95,3859341,2154420,1704921,126.36
山东,37045463,35184241,1861222,101527453,51432931,50094522,102.67,94868062,47675937,47192125,101.03,6659391,3756994,2902397,129.44
河南,33224985,31782693,1442292,99365519,49832349,49533170,100.60,90744073,45213105,45530968,99.30,8621446,4619244,4002202,115.42
湖北,21019329,19931045,1088284,57752557,29694718,28057839,105.83,52773775,26844608,25929167,103.53,4978782,2850110,2128672,133.89
湖南,23892020,22878336,1013684,66444864,33995673,32449191,104.77,61121055,31103853,30017202,103.62,5323809,2891820,2431989,118.91
广东,46691647,42469178,4222469,126012510,66873646,59138864,113.08,111671837,58021641,53650196,108.15,14340673,8852005,5488668,161.28
广西,16865333,16215014,650319,50126804,25916169,24210635,107.04,46498718,23974087,22524631,106.43,3628086,1942082,1686004,115.19
海南,3200027,2961646,238381,10081232,5345081,4736151,112.86,9060930,4759294,4301636,110.64,1020302,585787,434515,134.81
重庆,12627668,12040234,587434,32054159,16202133,15852026,102.21,29477069,14744701,14732368,100.08,2577090,1457432,1119658,130.17
四川,32205094,30756120,1448974,83674866,42289718,41385148,102.19,77093057,38672981,38420076,100.66,6581809,3616737,2965072,121.98
贵州,13265872,12696585,569287,38562148,19705293,18856855,104.50,35719520,18195997,17523523,103.84,2842628,1509296,1333332,113.20
云南,15861557,15146831,714726,47209277,24420924,22188353,107.16,43695762,22243508,21226068,105.52,3513515,1985843,1527672,129.99
西藏,1089496,1014090,75406,3648100,1913458,1734642,110.32,3237287,1660644,1576643,105.33,410813,252944,157869,160.22
陕西,14975672,14211344,764328,39528999,20226490,19302509,104.79,35975425,18199386,17776039,102.38,3535374,2027104,1508270,132.80
甘肃,8769671,8422836,346835,25019831,12700948,12318883,103.10,23345176,11746896,11598280,101.28,1674655,954052,720603,132.77
青海,2079275,1965893,113382,5939257,3033846,2905411,104.97,5439342,2777447,2661895,102.24,430015,256402,173613,147.69
宁夏,2661882,2535074,126808,7202654,3689383,3513271,103.83,6709343,3381503,3327840,101.61,493311,287435,205876,139.62
新疆,8803008,8351642,451366,25852345,13354380,12497965,106.85,23496279,11807506,11688773,101.02,2356066,1546874,809192,191.16